"DisplayName","InstallLocation"
"Android Studio",
"AntiCheatExpert","C:\Program Files\AntiCheatExpert"
"Denuvo Anti-Cheat","C:\Program Files\Denuvo Anti-Cheat"
"Docker Desktop","C:\Program Files\Docker\Docker"
"Git","C:\Program Files\Git\"
"Microsoft Office Home and Student 2021 - en-us","C:\Program Files\Microsoft Office"
"Notepad++ (64-bit x64)",
"Microsoft OneDrive",
"Microsoft OneNote - en-us","C:\Program Files\Microsoft Office"
"Tesseract-OCR - open source OCR engine",
"VLC media player","C:\Program Files\VideoLAN\VLC"
"WinRAR 7.01 (64-bit)","C:\Program Files\WinRAR"
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)",""
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664",""
"MySQL Router 8.0","C:\Program Files\MySQL\MySQL Router 8.0\"
"Windows SDK DirectX x64 Remote",""
"IIS Express Application Compatibility Database for x64",
"Microsoft.NET.Workload.Mono.Toolchain.net8.Manifest (x64)",""
"Microsoft ASP.NET Core 9.0.5 Shared Framework (x64)",""
"Free Download Manager","C:\Program Files\Softdeluxe\Free Download Manager\"
"Microsoft ODBC Driver 17 for SQL Server",""
"DiagnosticsHub_CollectionService",""
"IIS 10.0 Express",""
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)",""
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35208",""
"Microsoft Windows Desktop Targeting Pack - 9.0.6 (x64)",""
"Microsoft.NET.Sdk.macOS.Manifest-9.0.100 (x64)",""
"Microsoft .NET SDK 9.0.301 (x64) from Visual Studio",""
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)",""
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)",""
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219",""
"Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)",""
"Microsoft .NET AppHost Pack - 9.0.5 (x64)",""
"Microsoft .NET Toolset 9.0.301 (x64)",""
"Microsoft .NET Host FX Resolver - 9.0.5 (x64)",""
"Microsoft Windows Desktop Targeting Pack - 9.0.5 (x64)",""
"Microsoft .NET 9.0 Templates 9.0.301 (x64)",""
"Microsoft.NET.Sdk.Aspire.Manifest-8.0.100 (x64)",""
"Universal CRT Tools x64",""
"Microsoft.NET.Sdk.Maui.Manifest-9.0.100 (x64)",""
"Microsoft .NET AppHost Pack - 8.0.17 (x64)",""
"UE4 Prerequisites (x64)",""
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030",""
"vs_communityx64msi",""
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)",""
"Microsoft .NET Runtime - 9.0.5 (x64)",""
"Microsoft Command Line Utilities 15 for SQL Server",""
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)",""
"Microsoft Windows Desktop Runtime - 9.0.5 (x64)",""
"Microsoft.NET.Workload.Mono.Toolchain.Current.Manifest (x64)",""
"Python 3.12.4 Core Interpreter (64-bit)",""
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664",""
"DB Browser for SQLite","C:\Program Files\DB Browser for SQLite\"
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)",""
"Microsoft.NET.Workload.Emscripten.net8.Manifest (x64)",""
"Application Verifier x64 External Package (DesktopEditions)",""
"vs_devenx64vmsi",""
"Microsoft System CLR Types for SQL Server 2019",""
"Microsoft .NET Targeting Pack - 9.0.6 (x64)",""
"Pentablet","C:\Program Files\XPPen\"
"MySQL Workbench 8.0 CE","C:\Program Files\MySQL\MySQL Workbench 8.0"
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161",""
"Microsoft.NET.Workload.Emscripten.net7.Manifest (x64)",""
"Python 3.12.4 Standard Library (64-bit)",""
"Windows App Certification Kit Native Components",""
"Microsoft Windows Desktop Runtime - 8.0.17 (x64)",""
"Microsoft Windows Desktop Runtime - 9.0.6 (x64)",""
"Microsoft .NET Runtime - 8.0.17 (x64)",""
"Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)",""
"VS JIT Debugger",""
"icecap_collection_x64",""
"Bonjour","C:\Program Files (x86)\Bonjour\"
"Microsoft Visual Studio Installer","""C:\Program Files (x86)\Microsoft Visual Studio\Installer"""
"Java 8 Update 401 (64-bit)","C:\Program Files\Java\jre-1.8\"
"Python 3.12.4 Tcl/Tk Support (64-bit)",""
"Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)",""
"Python 3.12.4 Executables (64-bit)",""
"Microsoft.NET.Sdk.Android.Manifest-9.0.100 (x64)",""
"Python 3.12.4 Development Libraries (64-bit)",""
"Microsoft .NET AppHost Pack - 9.0.6 (x64_arm64)",""
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35208",""
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)",""
"Microsoft .NET Targeting Pack - 8.0.17 (x64)",""
"Microsoft.NET.Sdk.tvOS.Manifest-9.0.100 (x64)",""
"Microsoft ASP.NET Core 9.0.6 Targeting Pack (x64)",""
"Microsoft .NET AppHost Pack - 9.0.5 (x64_arm64)",""
"vs_minshellx64msi",""
"Office 16 Click-to-Run Licensing Component",""
"Office 16 Click-to-Run Extensibility Component",""
"Windows Subsystem for Linux",""
"ReliefJet Essentials for Outlook","C:\Program Files\ReliefJet Essentials\"
"Microsoft Windows Desktop Targeting Pack - 8.0.17 (x64)",""
"Application Verifier x64 External Package (OnecoreUAP)",""
"Microsoft .NET 9.0 Templates 9.0.300 (x64)",""
"Microsoft.NET.Sdk.MacCatalyst.Manifest-9.0.100 (x64)",""
"Microsoft .NET AppHost Pack - 8.0.17 (x64_x86)",""
"Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)",""
"Microsoft Teams Meeting Add-in for Microsoft Office",""
"Java(TM) SE Development Kit 22.0.2 (64-bit)","C:\Program Files\Java\jdk-22\"
"NVIDIA Nsight Visual Studio Edition 2024.2.1.24155",""
"Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)",""
"Python 3.12.4 Test Suite (64-bit)",""
"Python 3.12.4 Documentation (64-bit)",""
"IIS Express Application Compatibility Database for x86",
"Microsoft Visual C++ 2005 Redistributable (x64)",""
"PACE License Support Win64","C:\WINDOWS\SysWOW64\"
"Microsoft.NET.Sdk.iOS.Manifest-9.0.100 (x64)",""
"CUBLAS Runtime","C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.5"
